sentences,sentiment
Bad,-1
I can't understand the method of teaching,0
Worst,-1
The instructor was interested in the students and their progress.,1
The instructor don't use any examples for explaination.,0
Teaching is good but always late to class,1
Explaination is poor,-1
Too worst.,-1
The teaching is slow. They stretch the same thing for a long time. That the students lose interest.,1
Very poor,-1
Filthy,0
Content dellivery is not good,-1
Bad,-1
The instructor showed familiarity with the course material.,0
Bad,-1
Excellent,1
Too fast,0
Explaination is very good,1
Bad,-1
Remarkable,1
Right on target,0
Excellent,1
Worst,-1
Bad,-1
Extraordinary,0
Fine teaching,1
Teachers are very professional,0
Proper teaching is done,0
Too worst.,-1
"very helpful.When you have a problem, they are always ready to help you.",1
Cooperation needed with students,0
Teacher can improve,1
Cooperative nature of teachers makes it easier for better learning,1
More hard work required,-1
The instructor made good use of examples and illustrations,1
Not good,-1
Filthy,0
Teachers are highly qualified but they should devote more time to students,1
The instructor Always made sure everyone understand explanations ,1
The instructor was available for individual discussion.,0
Interactive lectures are conducted by staff.,0
Bad,-1
They need to develop a friendly nature towards learners.,1
The instructor was  not available for individual discussion,0
Precise lecture notes and interesting contents.,1
All teachers are really well experienced and resourceful,1
Worst,-1
Good ,1
Not on time,0
Presentation skills are well.,1
Teachers are ready to teach students not only in classes but available to clear doubts in their free time,1
Well understandable concepts,1
Well planned and timely teaching is carried .,1
Worst,-1
average,0
The teacher interacted with whole class .,0
 the teachers prepare for the classes are very poorly,0
Filthy,0
very bad,-1
Teacher has less knowledge of their own subject.,0
Very creative lectures ,1
Good teaching techniques ,1
This is a magnificent academy with excelllent teachers,1
Filthy,0
Nice teaching,1
teaching is good,1
not good,-1
not too good,-1
teaching is not good,-1
very good,1
points are not understandable,0
Too bad,-1
hard to understand,-1
Slow voice so it's not that audible,0
Good,1
Not gud behavior,0
Excellent explaination ,1
Well planned and nice skillssss,1
Too worst.,-1
very bad and hard to understand,-1
Quite impressive teaching,1
Gud but Not much satisfied ,-1
More Hard work required regarding concepts clearing,-1
Awesome teaching skills,1
Low voice,-1
teaching  is neutral,0
teaching is good,1
very bad teaching,-1
teaching is excellent,1
is not good,-1
teaching is understandable,0
Teacher was good.,1
Explains well but unable to write content on blackboard,1
Easily available and understandable notes,1
Filthy,0
Not only taught as per syllabus but extra knowledge shared too,1
Always willing to explain,0
Easy to learn and make notes ,1
Gr8 lecturers with perfect knowledge,1
Many ideas are shared for logic development,1
Noteworthy lectures and can't forget those days,1
"Good reasoning sessions,very helpful",1
Filthy,0
Always well prepared,1
